Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,Apple Inc,131.97,1.01,0.77%,133.46,131.1,54930000,12/24/20
ADBE,Adobe Systems Inc,499.86,2.95,0.59%,503.01,497.28,589100,12/24/20
ADI,Analog Devices,144.47,1.25,0.87%,144.48,143.01,466300,12/24/20
ADP,Automatic Data Procs,176.56,1.37,0.78%,176.57,174.93,371500,12/24/20
ADSK,Autodesk Inc,301.39,1.21,0.40%,302.76,298.77,323000,12/24/20
ALGN,Align Technology,528.03,3.03,0.58%,529.21,521.13,163600,12/24/20
ALXN,Alexion Pharm Inc,152.63,-0.61,-0.40%,153.61,151.99,1083800,12/24/20
AMAT,Applied Materials,85.33,1.3,1.55%,85.39,84.2,1409100,12/24/20
AMD,Adv Micro Devices,91.81,0.26,0.28%,92.51,91.31,16705900,12/24/20
AMGN,Amgen Inc,222.93,-0.01,0.00%,224.58,222.29,955400,12/24/20
AMZN,Amazon.com Inc,3172.69,-12.58,-0.39%,3202,3169,1451900,12/24/20
ANSS,Ansys Inc,364.17,1.95,0.54%,366.33,361.13,209300,12/24/20
ASML,Asml Hld NY Reg,483.09,8.47,1.78%,484.6,477.08,271900,12/24/20
ATVI,Activision Blizzard,90.96,0.75,0.83%,91.22,90.28,2269100,12/24/20
AVGO,Broadcom Ltd,431.46,6,1.41%,432,427.57,412200,12/24/20
BIDU,Baidu Inc,191.02,-2.34,-1.21%,192.88,189,2978800,12/24/20
BIIB,Biogen Inc,248.89,-2.31,-0.92%,251.2,247.51,459400,12/24/20
BKNG,Booking Holdings Inc,2088.35,-12.5,-0.59%,2119,2081,182500,12/24/20
BMRN,Biomarin Pharmaceuticals,88.66,0.36,0.41%,89.1,88.13,463600,12/24/20
CDNS,Cadence Design Sys,134,0.94,0.71%,134.62,132.63,377200,12/24/20
CDW,CDW Corp,129.23,-0.62,-0.48%,130.53,128.25,392900,12/24/20
CERN,Cerner Corp,78.41,0.72,0.93%,78.46,77.62,432000,12/24/20
CHKP,Check Point Software,134.75,-0.13,-0.10%,135.69,134,246700,12/24/20
CHTR,Charter Communicatio,656.49,9.05,1.40%,657.33,646.6,1127300,12/24/20
CMCSA,Comcast Corp A,50.38,0.35,0.69%,50.44,50.08,3875300,12/24/20
COST,Costco Wholesale,364.58,2.69,0.74%,365.33,361.41,972500,12/24/20
CPRT,Copart Inc,123.71,0.36,0.29%,124.04,122.7,291300,12/24/20
CSCO,Cisco Systems Inc,44.54,0.17,0.37%,44.59,44.23,5720500,12/24/20
CSX,CSX Corp,90.05,0.38,0.42%,90.22,89.15,876300,12/24/20
CTAS,Cintas Corp,338.4,-1.02,-0.30%,342.25,336.4,185500,12/24/20
CTSH,Cognizant Tech Sol,81.07,0.08,0.10%,81.35,80.6,1036900,12/24/20
CTXS,Citrix Systems Inc,132.57,0.8,0.61%,133.12,131.14,431800,12/24/20
DLTR,Dollar Tree Inc,109.03,1.41,1.31%,109.04,107.49,651800,12/24/20
DOCU,Docusign Inc,244.93,0.88,0.36%,250.3,243.5,1024400,12/24/20
DXCM,Dexcom,355.02,-0.97,-0.27%,358.28,351.72,282400,12/24/20
EA,Electronic Arts Inc,141.81,0.3,0.21%,142.2,140.78,688100,12/24/20
EBAY,Ebay Inc,50.12,-1.01,-1.98%,51.24,49.94,2718500,12/24/20
EXC,Exelon Corp,41.83,0.12,0.29%,41.95,41.41,1476600,12/24/20
EXPE,Expedia Group Inc,126.96,0.47,0.37%,127.43,125.75,564000,12/24/20
FAST,Fastenal Company,49.52,0.43,0.88%,49.52,49.15,704400,12/24/20
FB,Facebook Inc,267.4,-0.71,-0.26%,270.4,266.2,6702000,12/24/20
FISV,Fiserv Inc,112.63,1.99,1.80%,112.74,110.89,1683100,12/24/20
FOX,Fox Corp Cl B,28,0.25,0.90%,28.13,27.75,475900,12/24/20
FOXA,Fox Corp Cl A,28.31,0.2,0.71%,28.53,28.05,1363500,12/24/20
GILD,Gilead Sciences Inc,57.07,-0.31,-0.54%,57.41,56.96,3441300,12/24/20
GOOG,Alphabet Cl C,1738.85,6.47,0.37%,1746,1729.11,346700,12/24/20
GOOGL,Alphabet Cl A,1734.16,5.93,0.34%,1742.41,1724.35,465600,12/24/20
IDXX,Idexx Laboratories,497.14,3.46,0.70%,499.12,493.16,69500,12/24/20
ILMN,Illumina Inc,367.29,0.77,0.21%,369.06,362.01,269200,12/24/20
INCY,Incyte Corp,87.37,-0.56,-0.64%,88.37,87.04,182100,12/24/20
INTC,Intel Corp,47.07,0.5,1.07%,47.09,46.34,11865600,12/24/20
INTU,Intuit Inc,381.16,4.24,1.12%,381.79,377.43,441900,12/24/20
ISRG,Intuitive Surg Inc,807,-2.65,-0.33%,812.34,803.01,163200,12/24/20
JD,Jd.com Inc Ads,84.49,-0.97,-1.14%,86.66,83.11,12164400,12/24/20
KDP,Keurig Dr Pepper Inc,31.88,0.27,0.85%,31.9,31.56,1668700,12/24/20
KHC,Kraft Heinz Company,34.98,0.18,0.52%,34.98,34.62,1575900,12/24/20
KLAC,K L A-Tencor Corp,259.08,6.29,2.49%,259.08,253.97,367200,12/24/20
LBTYA,Liberty Global Ord A,24.36,0.07,0.29%,24.58,24.22,322300,12/24/20
LBTYK,Liberty Global Ord C,23.79,0.08,0.34%,24.02,23.59,649000,12/24/20
LRCX,Lam Research Corp,480.34,9.21,1.95%,480.34,472.9,332900,12/24/20
LULU,Lululemon Athletica,351.42,-3.71,-1.04%,356.39,350.45,757700,12/24/20
MAR,Marriot Int Cl A,128.75,0.14,0.11%,128.98,127.5,592000,12/24/20
MCHP,Microchip Technology,136.77,0.77,0.57%,137.5,135.3,451800,12/24/20
MDLZ,Mondelez Intl Inc,57.85,0.5,0.87%,57.87,57.32,2347700,12/24/20
MELI,Mercadolibre Inc,1690.48,20.47,1.23%,1694.48,1665.9,132800,12/24/20
MNST,Monster Beverage Cp,89.81,0.87,0.98%,90.02,88.99,461400,12/24/20
MRNA,Moderna Inc,123.39,-6.95,-5.33%,129.7,122.72,12720500,12/24/20
MSFT,Microsoft Corp,222.75,1.73,0.78%,223.61,221.2,10550500,12/24/20
MU,Micron Technology,70.58,0.63,0.90%,70.64,69.76,4848400,12/24/20
MXIM,Maxim Integrated,86.58,0.76,0.89%,86.59,85.64,276500,12/24/20
NFLX,Netflix Inc,513.97,-0.51,-0.10%,519.34,512.21,1143900,12/24/20
NTES,Netease Inc Ads,92.66,0.08,0.09%,93,90.95,646400,12/24/20
NVDA,Nvidia Corp,519.75,-0.62,-0.12%,525.3,517.55,2447000,12/24/20
