Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAL,American Airlines Gp,15.66,-0.23,-1.45%,16.04,16.04,15.53,31048900,12/24/20
AAON,Aaon Inc,65.48,0.27,0.41%,65.56,65.79,65.02,38700,12/24/20
AAPL,Apple Inc,131.97,1.01,0.77%,131.32,133.46,131.1,54930000,12/24/20
AAWW,Atlas Air Ww,56.14,0.39,0.70%,56.01,56.77,55.75,86400,12/24/20
AXON,Axon Inc,130.75,-1.08,-0.82%,132,132.46,129.31,187400,12/24/20
ABCB,Ameris Bancorp,37.48,-0.05,-0.13%,37.63,37.63,36.8,97000,12/24/20
ABMD,Abiomed Inc,303.41,-0.64,-0.21%,304.45,306.08,300.58,65700,12/24/20
ACAD,Acadia Pharmaceutica,55.01,-0.08,-0.15%,55.56,55.8,54.94,251400,12/24/20
ACCD,Accolade Inc,52.42,-2.61,-4.74%,55.36,56.97,51.65,197700,12/24/20
ACET,Adicet Bio Inc,14.35,0.04,0.28%,14.02,14.44,13.92,13500,12/24/20
ACGL,Arch Capital Grp Ltd,34.86,-0.22,-0.63%,35.09,35.09,34.45,604600,12/24/20
ACHC,Acadia Healthcr Company,49.27,0.29,0.59%,49.38,49.38,48.51,113000,12/24/20
ACIA,Acacia Communica,72.16,0.04,0.06%,72.05,72.22,72.02,173500,12/24/20
ACIW,Aci Worldwide Inc,38.53,0.52,1.37%,38.29,38.65,38.12,155100,12/24/20
ACMR,Acm Research Inc,69.67,-0.26,-0.37%,70.3,70.39,67.5,120900,12/24/20
ACRS,Aclaris Therapts,7.61,0.03,0.40%,7.59,7.7,7,586000,12/24/20
ACRX,Acelrx Pharmaceutica,1.27,-0.04,-3.05%,1.35,1.36,1.26,1075700,12/24/20
ADBE,Adobe Systems Inc,499.86,2.95,0.59%,499.16,503.01,497.28,589100,12/24/20
ADI,Analog Devices,144.47,1.25,0.87%,144.11,144.48,143.01,466300,12/24/20
ADP,Automatic Data Procs,176.56,1.37,0.78%,176.12,176.57,174.93,371500,12/24/20
ADPT,Adaptive Biotechnologies Corp,62.53,-2.94,-4.49%,65.39,65.39,61.5,364300,12/24/20
ADSK,Autodesk Inc,301.39,1.21,0.40%,300.4,302.76,298.77,323000,12/24/20
ADUS,Addus Homecare Corp,115.24,0.23,0.20%,115.81,116.31,114.08,37800,12/24/20
ADVM,Adverum Biotechnlgs,12.28,-0.21,-1.68%,12.52,12.89,12.23,306900,12/24/20
AEGN,Aegion Corp,19.25,0.33,1.74%,19.04,19.27,18.87,37600,12/24/20
AEIS,Advanced Energy,98.9,1.72,1.77%,98.68,98.93,97.11,111800,12/24/20
AEP,American Electric Power Company,81.42,0.71,0.88%,80.84,81.58,80.41,758000,12/24/20
AFIN,American Finance Trust Inc Cl A,7.69,0.09,1.18%,7.68,7.73,7.49,194100,12/24/20
AFYA,Afya Ltd Cl A,25.45,0.97,3.96%,25.06,25.96,24.24,190100,12/24/20
AGFS,Agrofresh Solutions,2.37,-0.02,-0.84%,2.37,2.38,2.29,40100,12/24/20
AGIO,Agios Pharmaceuticals,45.15,1.34,3.06%,44.31,45.64,43.84,363700,12/24/20
AGNC,American Capital Age,15.57,-0.1,-0.64%,15.75,15.76,15.48,3246900,12/24/20
AHCO,Adapthealth Corp Cl. A,37.93,-0.23,-0.60%,38.92,38.97,37.56,194900,12/24/20
AIMC,Altra Indtl Mtn,55.11,-0.17,-0.31%,55.76,55.76,54.49,63200,12/24/20
AKAM,Akamai Technologies,107.46,0.4,0.37%,108.6,108.6,106.43,410300,12/24/20
AKRO,Akero Therapeutics Inc,26.07,0.02,0.08%,26.23,26.49,25.76,93100,12/24/20
ALEC,Alector Inc,15.34,-1,-6.12%,16.32,16.57,15.3,209200,12/24/20
ALGM,Allegro Microsystems Inc,24.79,-0.02,-0.08%,25.8,25.8,24.65,402800,12/24/20
ALGN,Align Technology,528.03,3.03,0.58%,528.14,529.21,521.13,163600,12/24/20
ALGT,Allegiant Travel Com,179.23,-0.16,-0.09%,181.06,181.62,178.08,69400,12/24/20
ALKS,Alkermes Plc,21.46,0.2,0.94%,21.24,21.57,21.16,908100,12/24/20
ALLK,Allakos Inc,151.53,2.1,1.41%,151.23,155.36,150.49,76200,12/24/20
ALLO,Allogene Therapeutics Inc,27.33,-0.56,-2.01%,27.81,28.33,26.96,358100,12/24/20
ALNY,Alnylam Pharmaceuticals,137.56,-1.06,-0.76%,138.62,140.11,136.8,150900,12/24/20
ALRM,Alarm.com,98.88,-2.05,-2.03%,102.04,102.1,97.75,193400,12/24/20
ALRN,Aileron Therapeutics Inc,1.13,-0.03,-2.59%,1.25,1.25,1.11,2850600,12/24/20
ALTA,Altabancorp,27.66,0.15,0.55%,27.5,27.67,26.84,10800,12/24/20
ALTM,Altus Midstream Company,48.07,-0.34,-0.70%,49.09,49.09,46.98,13300,12/24/20
ALTR,Altair Engineering Inc Cl A,59.21,0.02,0.03%,59.55,59.94,58.75,82300,12/24/20
ALVR,Allovir Inc,40.46,-6.22,-13.32%,46.23,46.44,40.11,116800,12/24/20
ALXN,Alexion Pharm Inc,152.63,-0.61,-0.40%,153.54,153.61,151.99,1083800,12/24/20
ALXO,Alx Oncology Holdings Inc,88.64,-1.89,-2.09%,91.03,93.91,88.09,30100,12/24/20
AMAT,Applied Materials,85.33,1.3,1.55%,84.74,85.39,84.2,1409100,12/24/20
AMBA,Ambarella Inc,92.57,-0.79,-0.85%,93.84,93.84,92.03,127500,12/24/20
AMD,Adv Micro Devices,91.81,0.26,0.28%,91.8,92.51,91.31,16705900,12/24/20
AMED,Amedisys Inc,292.35,2.51,0.87%,298.54,298.54,289.01,50400,12/24/20
AMGN,Amgen Inc,222.93,-0.01,0.00%,223.24,224.58,222.29,955400,12/24/20
AMKR,Amkor Technology,14.99,-0.05,-0.33%,15.17,15.24,14.97,387300,12/24/20
AMPH,Amphastar Pharma,19.14,0.26,1.38%,18.96,19.35,18.96,100200,12/24/20
AMRN,Amarin Corp Ads,5.01,-0.12,-2.34%,5.1,5.17,4.97,2928200,12/24/20
AMSF,Amerisafe Inc,57.22,-0.37,-0.64%,58.88,58.88,57.14,36600,12/24/20
AMTI,Applied Molecular Transport Inc,33.9,0.06,0.18%,34.11,34.99,33.32,28700,12/24/20
AMWD,Amer Woodmark Cp,95.42,2.24,2.40%,93.35,95.57,92.73,34800,12/24/20
AMZN,Amazon.com Inc,3172.69,-12.58,-0.39%,3193.9,3202,3169,1451900,12/24/20
ANAT,Amer Natl Insurance,93.46,-0.5,-0.53%,93.83,94,93,10000,12/24/20
ANSS,Ansys Inc,364.17,1.95,0.54%,362.76,366.33,361.13,209300,12/24/20
APA,Apache Corp,14.43,-0.35,-2.37%,14.79,14.8,14.26,3763200,12/24/20
APHA,Aphria Inc,7.13,-0.29,-3.91%,7.42,7.44,7.07,4777600,12/24/20
APLS,Apellis Pharmaceuticals Inc,55.44,-0.1,-0.18%,56.8,56.8,55.05,135600,12/24/20
APPF,Appfolio Cl A,180.61,-1.81,-0.99%,183.16,184.33,178.43,48500,12/24/20
APPN,Appian Corp Cl A,157.98,0.67,0.43%,157,161.56,156.54,415100,12/24/20
APPS,Digital Turbine,58.58,1.72,3.02%,57.97,59.22,57.01,1580100,12/24/20
ARCB,Arcbest Corp,43.29,-0.28,-0.64%,43.63,43.65,43.06,43900,12/24/20
ARCE,Arco Platform Ltd Cl A,36.66,0.38,1.05%,36.35,36.9,35.84,77800,12/24/20
ARCT,Arcturus Therapeutics Ltd,98.13,-3.53,-3.47%,101.9,103.55,98,424400,12/24/20
ARGX,Argenx Se Ads,299.49,-4.85,-1.59%,305.55,308.16,298.07,23600,12/24/20
ARLP,Alliance Resource Pt,4.51,-0.12,-2.59%,4.6,4.62,4.41,293200,12/24/20
ARNA,Arena Pharmaceuticals,78.08,0.72,0.93%,77.24,78.36,76.84,199900,12/24/20
ARRY,Array Technologies Inc,44.18,-0.92,-2.04%,44,45.15,43.54,1311900,12/24/20
