Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AA,"Alcoa Corp",21.96,-0.26,-1.17%,22.34,22.34,21.81,1075500,12/24/20
AAIC,"Arlington Asset Investment Corp",3.84,-0.01,-0.26%,3.86,3.89,3.8,85600,12/24/20
AAN,"Aarons Holdings Company Inc",16.78,0.03,+0.18%,16.76,17.06,16.54,356500,12/24/20
AAOI,"Applied Optoelect",8.77,-0.23,-2.56%,9.02,9.04,8.66,477200,12/24/20
AAON,"Aaon Inc",65.48,0.27,+0.41%,65.56,65.79,65.02,38700,12/24/20
AAT,"American Assets Trust",28.45,0.34,+1.21%,28.19,28.54,27.94,115700,12/24/20
AAWW,"Atlas Air Ww",56.14,0.39,+0.70%,56.01,56.77,55.75,86400,12/24/20
ABCB,"Ameris Bancorp",37.48,-0.05,-0.13%,37.63,37.63,36.8,97000,12/24/20
ABEO,"Abeona Therapeutics",1.73,-0.07,-3.89%,1.79,1.81,1.655,1859500,12/24/20
ABG,"Asbury Automotive Group Inc",139.84,0.05,+0.04%,140.25,140.27,137.89,38800,12/24/20
ABM,"ABM Industries Inc",37.71,-0.49,-1.28%,38.14,38.33,37.52,127400,12/24/20
ABR,"Arbor Realty Trust",14.05,-0.06,-0.43%,14.13,14.13,13.87,435300,12/24/20
ABTX,"Allegiance Banc CS",33.84,0.12,+0.36%,33.73,34.01,33.3,38300,12/24/20
AC,"Associated Capital Group Inc",36.09,-0.29,-0.80%,36.31,36.31,35.47,1800,12/24/20
ACA,"Arcosa Inc",54.28,-0.26,-0.48%,54.31,54.44,53.87,49700,12/24/20
ACBI,"Atlantic Capital",15.76,0.07,+0.45%,15.81,15.88,15.41,29300,12/24/20
ACCD,"Accolade Inc",52.42,-2.61,-4.74%,55.36,56.97,51.65,197700,12/24/20
ACCO,"Acco Brands Corp",8.53,0.05,+0.59%,8.5,8.54,8.34,290200,12/24/20
ACEL,"Accel Entertainment Inc",10.86,0.09,+0.84%,10.75,11,10.67,179200,12/24/20
ACIA,"Acacia Communica",72.16,0.04,+0.06%,72.05,72.22,72.02,173500,12/24/20
ACIW,"Aci Worldwide Inc",38.53,0.52,+1.37%,38.29,38.65,38.12,155100,12/24/20
ACLS,"Axcelis Tech Inc",29.16,0.4,+1.39%,28.87,29.16,28.77,76800,12/24/20
ACNB,"Acnb Corp",25.09,-0.21,-0.83%,25.48,25.48,25.09,2200,12/24/20
ACRE,"Ares Commercial Real Estate Cor",12.22,-0.03,-0.24%,12.25,12.25,11.92,142300,12/24/20
ACRX,"Acelrx Pharmaceutica",1.27,-0.04,-3.05%,1.35,1.36,1.26,1075700,12/24/20
ACTG,"Acacia Res-Acacia",4.1,-0.01,-0.24%,4.19,4.25,4.09,256500,12/24/20
ADC,"Agree Realty Corp",64.67,0.29,+0.45%,64.56,64.74,63.53,237900,12/24/20
ADES,"Advanced Emissions Solutions Inc",5.96,0.17,+2.94%,5.84,5.99,5.78,56700,12/24/20
ADMA,"Adma Biologics",2.15,-0.04,-1.83%,2.19,2.2,2.11,2257300,12/24/20
ADNT,"Adient Plc",34.58,-0.42,-1.20%,35,35.05,34.08,188500,12/24/20
ADTN,"Adtran Inc",15.02,0,0.00%,15.07,15.19,14.95,54300,12/24/20
ADUS,"Addus Homecare Corp",115.24,0.23,+0.20%,115.81,116.31,114.08,37800,12/24/20
ADVM,"Adverum Biotechnlgs",12.28,-0.21,-1.68%,12.52,12.89,12.23,306900,12/24/20
AE,"Adams Resources & Energy",26.91,-0.9,-3.24%,27.55,27.96,26.91,7300,12/24/20
AEGN,"Aegion Corp",19.25,0.33,+1.74%,19.04,19.27,18.87,37600,12/24/20
AEIS,"Advanced Energy",98.9,1.72,+1.77%,98.68,98.93,97.11,111800,12/24/20
AEL,"American Equity Investment Life",27.53,-0.09,-0.33%,27.63,27.85,27.23,293400,12/24/20
AEO,"American Eagle Outfitters",19.83,-0.38,-1.88%,20.19,20.25,19.71,1068300,12/24/20
AERI,"Aerie Pharmaceuticals",14.33,-0.16,-1.10%,14.46,14.67,14.13,191700,12/24/20
AFIB,"Acutus Medical Inc",32.1,0.98,+3.15%,31.67,32.49,31.13,59400,12/24/20
AFIN,"American Finance Trust Inc Cl A",7.69,0.09,+1.18%,7.68,7.73,7.49,194100,12/24/20
AFMD,"Affimed N.V.",6.46,-0.05,-0.84%,6.47,6.57,6.15,903400,12/24/20
AGEN,"Agenus Inc",3.39,-0.09,-2.59%,3.51,3.52,3.38,886700,12/24/20
AGFS,"Agrofresh Solutions",2.37,-0.02,-0.84%,2.37,2.38,2.29,40100,12/24/20
AGLE,"Aeglea Biothera",8.13,-0.26,-3.10%,8.4,8.4,8,90500,12/24/20
AGM,"Federal Agricultural Mortgage Corp",73.85,-0.7,-0.94%,75.2,75.2,73.26,12700,12/24/20
AGRX,"Agile Therap",2.91,0,0.00%,2.94,2.94,2.84,630100,12/24/20
AGS,"Playags Inc",7,0.23,+3.40%,6.74,7.31,6.66,340500,12/24/20
AGTC,"Applied Genetic Tech",4.59,-0.2,-4.18%,4.79,4.8,4.54,191900,12/24/20
AGX,"Argan Inc",44.22,-0.02,-0.05%,44.45,44.6,44.12,28000,12/24/20
AGYS,"Agilysys Inc",41.04,-0.78,-1.87%,41.94,42.17,40.68,35800,12/24/20
AHCO,"Adapthealth Corp Cl. A",37.93,-0.23,-0.60%,38.92,38.97,37.56,194900,12/24/20
AHH,"Armada Hoffler Properties Inc",11.12,0.18,+1.65%,10.96,11.15,10.9,68400,12/24/20
AIMC,"Altra Indtl Mtn",55.11,-0.17,-0.31%,55.76,55.76,54.49,63200,12/24/20
AIN,"Albany International Corp",73.09,-0.52,-0.71%,73.91,73.92,72.16,52200,12/24/20
AIR,"AAR Corp",35.49,-0.47,-1.31%,36.19,36.94,34.99,134300,12/24/20
AIT,"Applied Industrial Technologies",78.09,0.54,+0.70%,77.78,78.23,77.16,31300,12/24/20
AJRD,"Aerojet Rocketdyne Holdings",52.85,0.05,+0.09%,52.83,52.96,51.85,1186600,12/24/20
AJX,"Great Ajax Corp",10.36,-0.05,-0.48%,10.47,10.47,10.23,11600,12/24/20
AKBA,"Akebia Therapeutics",2.92,-0.06,-2.01%,2.98,3.01,2.91,2189000,12/24/20
AKR,"Acadia Realty Trust",13.96,0,0.00%,13.97,13.99,13.61,481700,12/24/20
AKRO,"Akero Therapeutics Inc",26.07,0.02,+0.08%,26.23,26.49,25.76,93100,12/24/20
AKTS,"Akoustis Technologies Inc",12.33,-0.16,-1.28%,12.61,12.77,11.94,330900,12/24/20
AKUS,"Akouos Inc",20.76,-1.63,-7.28%,22.82,22.82,20.67,30100,12/24/20
ALBO,"Albireo Pharma Inc",38.94,0.3,+0.78%,38.71,39.45,38.17,131100,12/24/20
ALCO,"Alico Inc",31.45,0.15,+0.48%,31.47,31.6,31.01,21100,12/24/20
