Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,Apple Inc,131.97,1.01,0.77%,133.46,131.1,54930000,12/24/20
ABBV,Abbvie Inc,103.26,-0.02,-0.02%,103.39,102.6,1378600,12/24/20
ABT,Abbott Laboratories,108.35,0.9,0.84%,108.95,107.38,1451400,12/24/20
ACN,Accenture Plc,257.3,-0.14,-0.05%,259.78,256.28,528100,12/24/20
ADBE,Adobe Systems Inc,499.86,2.95,0.59%,503.01,497.28,589100,12/24/20
AIG,American International Group,37.37,-0.07,-0.19%,37.5,36.97,1613800,12/24/20
ALL,Allstate Corp,107.19,1.2,1.13%,107.41,105.92,508900,12/24/20
AMGN,Amgen Inc,222.93,-0.01,0.00%,224.58,222.29,955400,12/24/20
AMT,American Tower Corp,218.65,1.25,0.57%,219.39,216.19,705600,12/24/20
AMZN,Amazon.com Inc,3172.69,-12.58,-0.39%,3202,3169,1451900,12/24/20
AXP,American Express Company,117.35,0.4,0.34%,117.44,115.82,706900,12/24/20
BA,Boeing Company,217.15,-2.54,-1.16%,219.88,216.05,6398500,12/24/20
BAC,Bank of America Corp,29.96,-0.09,-0.30%,30.27,29.74,22632199,12/24/20
BIIB,Biogen Inc,248.89,-2.31,-0.92%,251.2,247.51,459400,12/24/20
BK,Bank of New York Mellon Corp,41.04,0.06,0.15%,41.2,40.62,1254700,12/24/20
BKNG,Booking Holdings Inc,2088.35,-12.5,-0.59%,2119,2081,182500,12/24/20
BLK,Blackrock,707.18,3.54,0.50%,710.84,703.36,173200,12/24/20
BMY,Bristol-Myers Squibb Company,61.15,0.15,0.25%,61.36,60.94,3099600,12/24/20
BRK.B,Berkshire Hathaway Cl B,226.53,2.29,1.02%,227.13,224.21,2386900,12/24/20
C,Citigroup Inc,60.57,-0.21,-0.35%,61.09,59.88,6824300,12/24/20
CAT,Caterpillar Inc,179.56,1.14,0.64%,179.85,178.35,585700,12/24/20
CHTR,Charter Communicatio,656.49,9.05,1.40%,657.33,646.6,1127300,12/24/20
CL,Colgate-Palmolive Company,85.04,0.61,0.72%,85.1,84.49,733100,12/24/20
CMCSA,Comcast Corp A,50.38,0.35,0.69%,50.44,50.08,3875300,12/24/20
COF,Capital One Financial Corp,97.3,0.48,0.50%,97.42,95.79,960100,12/24/20
COP,Conocophillips,39.49,-0.59,-1.47%,40.01,38.96,3530200,12/24/20
COST,Costco Wholesale,364.58,2.69,0.74%,365.33,361.41,972500,12/24/20
CRM,Salesforce.com Inc,225.78,-1.65,-0.73%,229.19,224.83,6146200,12/24/20
CSCO,Cisco Systems Inc,44.54,0.17,0.37%,44.59,44.23,5720500,12/24/20
CVS,CVS Corp,67.97,-0.04,-0.06%,68.17,67.49,2117500,12/24/20
CVX,Chevron Corp,85.33,-0.36,-0.42%,85.93,84.81,3335600,12/24/20
DD,Du Pont De.Nemours Inc,69.55,0.37,0.53%,69.63,68.88,2409700,12/24/20
DHR,Danaher Corp,221.49,0.92,0.42%,223.57,220.57,610900,12/24/20
DIS,Walt Disney Company,173.73,0.18,0.10%,174.58,172.38,2720900,12/24/20
DOW,Dow Inc,54.79,0.04,0.07%,54.97,54.33,1074800,12/24/20
DUK,Duke Energy Corp,89.67,0.63,0.71%,89.72,88.8,733500,12/24/20
EMR,Emerson Electric Company,79.98,-0.04,-0.05%,80.49,79.54,456500,12/24/20
EXC,Exelon Corp,41.83,0.12,0.29%,41.95,41.41,1476600,12/24/20
F,Ford Motor Company,8.86,-0.13,-1.45%,9.02,8.8,27926898,12/24/20
FB,Facebook Inc,267.4,-0.71,-0.26%,270.4,266.2,6702000,12/24/20
FDX,Fedex Corp,268.82,-1.89,-0.70%,272.03,267.19,1649300,12/24/20
GD,General Dynamics Corp,149.01,0.86,0.58%,149.15,147.6,447400,12/24/20
GE,General Electric Company,10.65,-0.21,-1.93%,10.85,10.62,30049600,12/24/20
GILD,Gilead Sciences Inc,57.07,-0.31,-0.54%,57.41,56.96,3441300,12/24/20
GM,General Motors Company,41.58,-0.87,-2.05%,42.2,41.21,7825300,12/24/20
GOOG,Alphabet Cl C,1738.85,6.47,0.37%,1746,1729.11,346700,12/24/20
GOOGL,Alphabet Cl A,1734.16,5.93,0.34%,1742.41,1724.35,465600,12/24/20
GS,Goldman Sachs Group,256.16,-0.29,-0.11%,257.62,253.75,968100,12/24/20
HD,Home Depot,270.92,1.11,0.41%,271.36,269.4,1093900,12/24/20
HON,Honeywell International Inc,209.53,-0.46,-0.22%,210.7,208.6,754900,12/24/20
IBM,International Business Machines,124.69,0.79,0.64%,125.1,124.21,1761100,12/24/20
INTC,Intel Corp,47.07,0.5,1.07%,47.09,46.34,11865600,12/24/20
JNJ,Johnson & Johnson,152.47,0.53,0.35%,153.04,151.82,2114900,12/24/20
JPM,JP Morgan Chase & Company,124.52,-0.55,-0.44%,125.55,123.57,4164900,12/24/20
KHC,Kraft Heinz Company,34.98,0.18,0.52%,34.98,34.62,1575900,12/24/20
KMI,Kinder Morgan,13.83,0,0.00%,13.86,13.69,5520100,12/24/20
KO,Coca-Cola Company,53.44,0.36,0.68%,53.55,53.02,3265500,12/24/20
LLY,Eli Lilly and Company,166.66,1.18,0.71%,167.94,165.85,627200,12/24/20
LMT,Lockheed Martin Corp,351.97,0.37,0.11%,354.06,350.4,508700,12/24/20
LOW,Lowe's Companies,162.77,0.34,0.21%,163.2,162.1,1044600,12/24/20
MA,Mastercard Inc,336,6.77,2.06%,336.37,330.35,1308900,12/24/20
MCD,McDonald's Corp,211.39,-0.63,-0.30%,212.74,211.14,1047600,12/24/20
MDLZ,Mondelez Intl Inc,57.85,0.5,0.87%,57.87,57.32,2347700,12/24/20
MDT,Medtronic Inc,114.03,0.09,0.08%,114.53,113.61,1025200,12/24/20
MET,Metlife Inc,46.31,0.18,0.39%,46.32,45.8,1580500,12/24/20
MMM,3M Company,174.52,0.53,0.30%,174.79,173.42,656100,12/24/20
MO,Altria Group,41.72,-1.15,-2.68%,41.92,41.15,6055800,12/24/20
MRK,Merck & Company,80.14,0.38,0.48%,80.43,79.87,2822000,12/24/20
MS,Morgan Stanley,68.09,-0.12,-0.18%,68.58,67.76,3126600,12/24/20
MSFT,Microsoft Corp,222.75,1.73,0.78%,223.61,221.2,10550500,12/24/20
