Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ATVI,"Activision Blizzard",90.96,0.75,+0.83%,90.3,91.22,90.28,2269100,12/24/20
CHTR,"Charter Communicatio",656.49,9.05,+1.40%,646.6,657.33,646.6,1127300,12/24/20
CMCSA,"Comcast Corp A",50.38,0.35,+0.69%,50.2,50.44,50.08,3875300,12/24/20
DIS,"Walt Disney Company",173.73,0.18,+0.10%,173.99,174.58,172.38,2720900,12/24/20
DISCA,"Discovery Comm A",28.57,0.31,+1.10%,28.29,28.73,27.97,3471600,12/24/20
DISCK,"Discovery Comm Inc",25.14,0.29,+1.17%,24.9,25.23,24.59,600700,12/24/20
DISH,"Dish Network Corp",31.06,0.09,+0.29%,31.02,31.08,30.49,1730200,12/24/20
EA,"Electronic Arts Inc",141.81,0.3,+0.21%,141.32,142.2,140.78,688100,12/24/20
FB,"Facebook Inc",267.4,-0.71,-0.26%,268.88,270.4,266.2,6702000,12/24/20
FOX,"Fox Corp Cl B",28,0.25,+0.90%,27.75,28.13,27.75,475900,12/24/20
FOXA,"Fox Corp Cl A",28.31,0.2,+0.71%,28.05,28.53,28.05,1363500,12/24/20
GOOG,"Alphabet Cl C",1738.85,6.47,+0.37%,1735,1746,1729.11,346700,12/24/20
GOOGL,"Alphabet Cl A",1734.16,5.93,+0.34%,1729,1742.41,1724.35,465600,12/24/20
IPG,"Interpublic Group of Companies",23.52,0,0.00%,23.61,23.61,23.27,850600,12/24/20
LUMN,Centurylink,9.86,-0.04,-0.40%,10,10,9.8,4775200,12/24/20
LYV,"Live Nation Entertainment",71.64,0.01,+0.01%,71.93,72.04,71.35,381800,12/24/20
NFLX,"Netflix Inc",513.97,-0.51,-0.10%,515.12,519.34,512.21,1143900,12/24/20
NWS,"News Cp Cl B",17.68,0.18,+1.03%,17.63,17.78,17.55,1352000,12/24/20
NWSA,"News Cp Cl A",17.82,0.14,+0.76%,17.82,17.94,17.74,1099900,12/24/20
OMC,"Omnicom Group Inc",61.3,0.02,+0.03%,61.33,61.43,60.76,346000,12/24/20
T,"AT&T Inc",28.69,-0.06,-0.21%,28.73,28.76,28.5,19153000,12/24/20
TMUS,"T-Mobile US",132.92,0.69,+0.52%,132.78,133.83,132.59,901100,12/24/20
TTWO,"Take-Two Interacti",202.5,0.68,+0.34%,202.47,204.44,201.49,211600,12/24/20
TWTR,"Twitter Inc",53.97,-0.33,-0.61%,54.52,55.19,53.86,3661000,12/24/20
VIAC,"Viacomcbs Inc Cl B",35.99,0.04,+0.11%,35.74,36.03,35.45,4720500,12/24/20
VZ,"Verizon Communications Inc",58.84,-0.12,-0.20%,59,59.07,58.66,7751100,12/24/20
