Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAP,"Advance Auto Parts Inc",160.68,1.39,+0.87%,160.98,158.93,308000,12/24/20
AMZN,"Amazon.com Inc",3172.69,-12.58,-0.39%,3202,3169,1451900,12/24/20
APTV,"Aptiv Plc",128.42,0.07,+0.05%,129.2,127.06,350000,12/24/20
AZO,Autozone,1204.22,11.23,+0.94%,1208.01,1187.13,82300,12/24/20
BBY,"Best Buy Company",102.55,0.21,+0.21%,103.44,101.83,996700,12/24/20
BKNG,"Booking Holdings Inc",2088.35,-12.5,-0.59%,2119,2081,182500,12/24/20
BWA,"Borgwarner Inc",38.96,-0.66,-1.67%,39.6,38.64,567100,12/24/20
CCL,"Carnival Corp",20.84,-0.1,-0.48%,21.08,20.43,14819300,12/24/20
CMG,"Chipotle Mexican Grill",1412.55,1.56,+0.11%,1418.54,1406.87,101300,12/24/20
DG,"Dollar General Corp",211.28,0.11,+0.05%,212.35,210.64,535700,12/24/20
DHI,"D.R. Horton",71.85,1.1,+1.55%,72.21,70.14,1634300,12/24/20
DLTR,"Dollar Tree Inc",109.03,1.41,+1.31%,109.04,107.49,651800,12/24/20
DPZ,"Domino's Pizza Inc",396.73,-7.02,-1.74%,404.56,395.66,184200,12/24/20
DRI,"Darden Restaurants",117.89,-1.69,-1.41%,119.94,117.31,507400,12/24/20
EBAY,"Ebay Inc",50.12,-1.01,-1.98%,51.24,49.94,2718500,12/24/20
ETSY,"Etsy Inc",190.31,0.14,+0.07%,193.74,188.08,1116600,12/24/20
EXPE,"Expedia Group Inc",126.96,0.47,+0.37%,127.43,125.75,564000,12/24/20
F,"Ford Motor Company",8.86,-0.13,-1.45%,9.02,8.8,27926898,12/24/20
GM,"General Motors Company",41.58,-0.87,-2.05%,42.2,41.21,7825300,12/24/20
GPC,"Genuine Parts Company",99.36,-0.04,-0.04%,99.87,98.39,149400,12/24/20
GPS,"Gap Inc",20.43,-0.27,-1.30%,20.73,20.27,2149800,12/24/20
GRMN,"Garmin Ltd",120.21,-0.03,-0.02%,120.68,119.23,166100,12/24/20
HAS,"Hasbro Inc",93.15,0.4,+0.43%,93.34,92.01,201000,12/24/20
HBI,"Hanesbrands Inc",14.59,-0.14,-0.95%,14.8,14.37,2241400,12/24/20
HD,"Home Depot",270.92,1.11,+0.41%,271.36,269.4,1093900,12/24/20
HLT,"Hilton Inc",106.89,0.38,+0.36%,106.89,105.65,822300,12/24/20
KMX,"Carmax Inc",92.3,-0.88,-0.94%,93.47,91.25,1042200,12/24/20
LB,"L Brands Inc",38.96,-0.23,-0.59%,39.25,38.23,1045200,12/24/20
LEG,"Leggett & Platt Inc",42.48,0.59,+1.41%,42.56,41.36,568200,12/24/20
LEN,"Lennar Corp",80.43,1.86,+2.37%,80.5,77.83,955400,12/24/20
LKQ,"LKQ Corp",36.26,0.01,+0.03%,36.4,35.84,334600,12/24/20
LOW,"Lowe's Companies",162.77,0.34,+0.21%,163.2,162.1,1044600,12/24/20
LVS,"Las Vegas Sands",57.01,-0.18,-0.31%,57.49,56.71,898100,12/24/20
MAR,"Marriot Int Cl A",128.75,0.14,+0.11%,128.98,127.5,592000,12/24/20
MCD,"McDonald's Corp",211.39,-0.63,-0.30%,212.74,211.14,1047600,12/24/20
MGM,"MGM Resorts International",30.74,-0.24,-0.77%,31.03,30.57,1775100,12/24/20
MHK,"Mohawk Industries",138.72,1.57,+1.14%,138.87,135.46,161800,12/24/20
NCLH,"Norwegian Cruise Ord",24.58,0.08,+0.33%,24.79,24.12,7884100,12/24/20
NKE,"Nike Inc",141.6,-0.16,-0.11%,142.19,141.1,1821900,12/24/20
NVR,"NVR Inc",4216.39,74.82,+1.81%,4220,4119.86,4200,12/24/20
NWL,"Newell Rubbermaid Inc",21.22,-0.01,-0.05%,21.27,21.04,690200,12/24/20
ORLY,"O'Reilly Automotive",461.76,3.83,+0.84%,462.73,456.32,257200,12/24/20
PHM,Pultegroup,45.2,0.91,+2.05%,45.27,43.89,1089300,12/24/20
POOL,"Pool Corp",364.73,-0.79,-0.22%,366.87,361.19,83200,12/24/20
PVH,"Phillips-Van Heusen Corp",93.82,-0.76,-0.80%,94.62,92.44,295600,12/24/20
RCL,"Royal Caribbean Cruises Ltd",70.66,-0.76,-1.06%,71.85,70.07,1712400,12/24/20
RL,"Ralph Lauren Corp",100.92,-1.04,-1.02%,103.5,100.5,336400,12/24/20
ROST,"Ross Stores Inc",118.02,-0.12,-0.10%,118.29,116.84,608700,12/24/20
SBUX,"Starbucks Corp",102.01,-0.05,-0.05%,102.36,101.68,1949100,12/24/20
TGT,"Target Corp",175.19,0.28,+0.16%,176.51,174.67,1941200,12/24/20
TIF,"Tiffany & Company",131.16,0.01,+0.01%,131.2,131.15,433100,12/24/20
TJX,"TJX Companies",66.98,-0.36,-0.53%,67.13,66.59,1656800,12/24/20
TPR,"Tapestry Inc",30.85,0.33,+1.08%,31.18,30.37,1945300,12/24/20
TSCO,"Tractor Supply Company",146.88,-0.02,-0.01%,148,146.21,369100,12/24/20
UA,"Under Armour Inc Cl C",15.05,-0.04,-0.27%,15.12,14.69,1529300,12/24/20
UAA,"Under Armour",17.41,0.05,+0.29%,17.43,16.9,3020300,12/24/20
ULTA,"Ulta Beauty Inc",264.64,-3.82,-1.42%,268.39,263.93,271000,12/24/20
VFC,"V.F. Corp",83.9,-0.37,-0.44%,84.6,83.23,546800,12/24/20
