Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ADM,"Archer Daniels Midland",49.44,0.09,+0.18%,49.41,49.5,49.02,411600,12/24/20
BF.B,"Brown Forman Inc Cl B",78.03,0.45,+0.58%,77.42,78.09,76.71,235800,12/24/20
CAG,"Conagra Brands Inc",36.38,-0.03,-0.08%,36.28,36.43,36.15,807700,12/24/20
CHD,"Church & Dwight Company",86.86,-0.08,-0.09%,86.78,87.29,86.39,281800,12/24/20
CL,"Colgate-Palmolive Company",85.04,0.61,+0.72%,84.62,85.1,84.49,733100,12/24/20
CLX,"Clorox Company",203.8,1.47,+0.73%,202.1,203.8,202.08,288600,12/24/20
COST,"Costco Wholesale",364.58,2.69,+0.74%,361.41,365.33,361.41,972500,12/24/20
CPB,"Campbell Soup Company",48.55,0.44,+0.91%,48,48.66,48,673900,12/24/20
EL,"Estee Lauder Companies",260.95,1.32,+0.51%,261.32,261.63,259.93,285400,12/24/20
GIS,"General Mills",59.13,0.14,+0.24%,58.75,59.16,58.62,1127400,12/24/20
HRL,"Hormel Foods Corp",47.17,-0.17,-0.36%,47.23,47.29,46.82,567300,12/24/20
HSY,"Hershey Foods Corp",149.95,0.5,+0.33%,149.3,150.18,148.84,188200,12/24/20
K,"Kellogg Company",61.78,0.17,+0.28%,61.58,61.9,61.42,524800,12/24/20
KHC,"Kraft Heinz Company",34.98,0.18,+0.52%,34.79,34.98,34.62,1575900,12/24/20
KMB,"Kimberly-Clark Corp",133.89,0.39,+0.29%,133.57,134.35,133.05,529700,12/24/20
KO,"Coca-Cola Company",53.44,0.36,+0.68%,53.02,53.55,53.02,3265500,12/24/20
KR,"Kroger Company",31.53,0.14,+0.45%,31.29,31.62,31.25,2918900,12/24/20
LW,"Lamb Weston Holdings Inc",77.65,-0.95,-1.21%,78.44,78.44,76.75,294900,12/24/20
MDLZ,"Mondelez Intl Inc",57.85,0.5,+0.87%,57.42,57.87,57.32,2347700,12/24/20
MKC,"Mccormick & Company Inc",93.47,0.49,+0.53%,92.98,93.59,92.46,217600,12/24/20
MNST,"Monster Beverage Cp",89.81,0.87,+0.98%,89,90.02,88.99,461400,12/24/20
MO,"Altria Group",41.72,-1.15,-2.68%,41.89,41.92,41.15,6055800,12/24/20
PEP,"Pepsico Inc",145.06,0.65,+0.45%,144.83,145.11,144.14,883200,12/24/20
PG,"Procter & Gamble Company",137.72,1.38,+1.01%,136.2,138.13,136.2,2588100,12/24/20
PM,"Philip Morris International Inc",82.51,0.31,+0.38%,82.16,82.6,82.03,1128500,12/24/20
SJM,"J.M. Smucker Company",116.09,0.92,+0.80%,115.04,116.35,114.99,254200,12/24/20
STZ,"Constellation Brands Inc",215.81,0.33,+0.15%,214.49,216.1,213.86,266900,12/24/20
SYY,"Sysco Corp",72.42,-0.45,-0.62%,72.74,72.8,71.5,730100,12/24/20
TAP,"Molson Coors Brewing Company",45.47,0.08,+0.18%,45.6,45.6,44.89,502900,12/24/20
TSN,"Tyson Foods",64.79,0.24,+0.37%,64.8,64.95,64.21,1074200,12/24/20
WBA,"Walgreens Boots Alliance",39.62,-0.25,-0.63%,39.95,40.04,39.08,2677900,12/24/20
WMT,"Wal-Mart Stores",143.5,0.28,+0.20%,143.54,144.39,143.18,3018100,12/24/20
