Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
APA,"Apache Corp",14.43,-0.35,-2.37%,14.79,14.8,14.26,3763200,12/24/20
BKR,"Baker Hughes A Ge CO Cl A",21.01,-0.12,-0.57%,21.2,21.24,20.85,1213300,12/24/20
COG,"Cabot Oil & Gas Corp",16.94,-0.23,-1.34%,17.23,17.23,16.83,1735800,12/24/20
COP,Conocophillips,39.49,-0.59,-1.47%,40.01,40.01,38.96,3530200,12/24/20
CVX,"Chevron Corp",85.33,-0.36,-0.42%,85.93,85.93,84.81,3335600,12/24/20
CXO,"Concho Resources Inc",57.46,-0.89,-1.53%,58.33,58.33,56.75,467000,12/24/20
DVN,"Devon Energy Corp",15.33,-0.33,-2.11%,15.68,15.7,15.13,2793200,12/24/20
EOG,"Eog Resources",49.6,-0.48,-0.96%,50.15,50.2,49.04,2128400,12/24/20
FANG,"Diamondback Energy",48.25,0.45,+0.94%,47.77,48.44,46.55,1609000,12/24/20
FTI,"Technipfmc Plc",9.4,-0.07,-0.74%,9.59,9.61,9.24,1249300,12/24/20
HAL,"Halliburton Company",19.21,-0.27,-1.39%,19.57,19.59,18.99,2895500,12/24/20
HES,"Hess Corp",53.54,-0.66,-1.22%,54.19,54.25,53.28,783100,12/24/20
HFC,"Hollyfrontier Corp",25.35,-0.1,-0.39%,25.4,25.5,24.99,731600,12/24/20
KMI,"Kinder Morgan",13.83,0,0.00%,13.83,13.86,13.69,5520100,12/24/20
MPC,"Marathon Petroleum Corp",41.21,-0.1,-0.24%,40.86,41.23,40.39,1989200,12/24/20
MRO,"Marathon Oil Corp",6.63,-0.18,-2.64%,6.78,6.79,6.45,15690699,12/24/20
NOV,National-Oilwell,13.5,-0.13,-0.95%,13.66,13.74,13.31,2292400,12/24/20
OKE,"Oneok Inc",38.8,0,0.00%,38.82,38.85,37.9,1344100,12/24/20
OXY,"Occidental Petroleum Corp",17.67,-0.22,-1.23%,18.17,18.17,17.4,9203900,12/24/20
PSX,"Phillips 66",68.73,-0.63,-0.91%,69.19,69.28,68.04,1295200,12/24/20
PXD,"Pioneer Natural Resources Company",112.49,-0.63,-0.56%,112.86,112.86,110.76,487800,12/24/20
SLB,"Schlumberger N.V.",21.64,-0.28,-1.28%,21.98,21.99,21.46,3664900,12/24/20
VLO,"Valero Energy Corp",55.68,-0.11,-0.20%,55.54,55.75,54.56,1351900,12/24/20
WMB,"Williams Companies",20.74,-0.01,-0.05%,20.8,20.83,20.54,2684800,12/24/20
XOM,"Exxon Mobil Corp",41.6,-0.17,-0.41%,41.65,41.85,41.38,8039000,12/24/20
