Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AFL,"Aflac Inc",43.84,0.31,+0.71%,43.67,43.93,43.38,1383500,12/24/20
AIG,"American International Group",37.37,-0.07,-0.19%,37.48,37.5,36.97,1613800,12/24/20
AIZ,"Assurant Inc",132.62,0.18,+0.14%,132.55,132.85,131.85,86600,12/24/20
AJG,"Arthur J. Gallagher & Company",123.42,0.38,+0.31%,123.02,123.69,122.65,222900,12/24/20
ALL,"Allstate Corp",107.19,1.2,+1.13%,106.19,107.41,105.92,508900,12/24/20
AMP,"Ameriprise Financial Services",189.7,1.16,+0.62%,188.98,189.88,186.95,212100,12/24/20
AON,"AON Plc",210.61,2.71,+1.30%,209.55,210.99,208,429900,12/24/20
AXP,"American Express Company",117.35,0.4,+0.34%,116.93,117.44,115.82,706900,12/24/20
BAC,"Bank of America Corp",29.96,-0.09,-0.30%,30.27,30.27,29.74,22632199,12/24/20
BEN,"Franklin Resources",24.8,0.06,+0.24%,24.87,24.89,24.68,969500,12/24/20
BK,"Bank of New York Mellon Corp",41.04,0.06,+0.15%,41.15,41.2,40.62,1254700,12/24/20
BLK,Blackrock,707.18,3.54,+0.50%,703.36,710.84,703.36,173200,12/24/20
BRK.B,"Berkshire Hathaway Cl B",226.53,2.29,+1.02%,224.6,227.13,224.21,2386900,12/24/20
C,"Citigroup Inc",60.57,-0.21,-0.35%,60.93,61.09,59.88,6824300,12/24/20
CB,"Chubb Ltd",150.83,-0.23,-0.15%,151.32,151.32,149.6,422300,12/24/20
CBOE,"CBOE Global Markets Inc",92.05,0.95,+1.04%,90.95,92.11,90.92,201100,12/24/20
CFG,"Citizens Financial Group Inc/Ri",35.12,-0.24,-0.68%,35.5,35.5,34.59,1333600,12/24/20
CINF,"Cincinnati Financial",85.23,-0.48,-0.56%,85.72,86.22,84.21,226400,12/24/20
CMA,"Comerica Inc",55.9,-0.16,-0.29%,56.5,56.56,55.12,379400,12/24/20
CME,"CME Group Inc",178.48,-1.86,-1.03%,177.83,178.85,177.15,466000,12/24/20
COF,"Capital One Financial Corp",97.3,0.48,+0.50%,96.99,97.42,95.79,960100,12/24/20
DFS,"Discover Financial Services",88.29,-0.08,-0.09%,88.61,88.8,87.42,592600,12/24/20
FITB,"Fifth Third Bncp",27.58,-0.15,-0.54%,27.82,27.82,27.14,1477600,12/24/20
FRC,"First Republic Bank",140.53,0.07,+0.05%,140.5,140.81,139.13,185600,12/24/20
GL,"Globe Life Inc",92.87,-0.03,-0.03%,93.3,93.56,91.88,76000,12/24/20
GS,"Goldman Sachs Group",256.16,-0.29,-0.11%,257.04,257.62,253.75,968100,12/24/20
HBAN,"Huntington Bcshs",12.35,-0.1,-0.80%,12.51,12.51,12.16,4545200,12/24/20
HIG,"Hartford Financial Services Group",48.41,0.14,+0.29%,48.17,48.42,47.72,490700,12/24/20
ICE,"Intercontinental Exchange",112.69,0.51,+0.45%,111.96,112.95,111.81,511200,12/24/20
IVZ,"Invesco Plc",17.61,0.06,+0.34%,17.62,17.62,17.38,849500,12/24/20
JPM,"JP Morgan Chase & Company",124.52,-0.55,-0.44%,125.09,125.55,123.57,4164900,12/24/20
KEY,Keycorp,16.19,-0.14,-0.86%,16.38,16.4,15.97,2250800,12/24/20
L,"Loews Corp",44,-0.1,-0.23%,44.11,44.24,43.74,300100,12/24/20
LNC,"Lincoln National Corp",49.74,-0.21,-0.42%,49.89,49.95,49.04,484400,12/24/20
MCO,"Moody's Corp",278.88,3.18,+1.15%,275.32,279.36,275.32,210300,12/24/20
MET,"Metlife Inc",46.31,0.18,+0.39%,46.06,46.32,45.8,1580500,12/24/20
MKTX,"Marketaxess Holdings",573.08,0.11,+0.02%,576.48,582.68,567.86,148100,12/24/20
MMC,"Marsh & Mclennan Companies",115.13,1.44,+1.27%,114.14,115.29,113.92,372300,12/24/20
MS,"Morgan Stanley",68.09,-0.12,-0.18%,68.36,68.58,67.76,3126600,12/24/20
MSCI,"MSCI Inc",432.46,3.83,+0.89%,429.06,434.5,429.06,77500,12/24/20
MTB,"M&T Bank Corp",124.96,-0.65,-0.52%,125.63,125.63,123.33,243300,12/24/20
NDAQ,"Nasdaq Inc",128.62,0.67,+0.52%,127.98,128.74,127.59,191800,12/24/20
NTRS,"Northern Trust Corp",91.59,-0.4,-0.43%,92.23,92.23,90.18,269300,12/24/20
PBCT,"People's United Finl",12.89,-0.04,-0.31%,12.94,12.97,12.68,1379200,12/24/20
PFG,"Principal Financial Group Inc",48.48,-0.06,-0.12%,48.6,48.84,47.85,415200,12/24/20
PGR,"Progressive Corp",98.31,0.8,+0.82%,97.4,98.46,97.26,724600,12/24/20
PNC,"PNC Bank",146.15,-0.55,-0.37%,146.43,146.69,144.67,518800,12/24/20
PRU,"Prudential Financial Inc",76.74,-0.05,-0.07%,76.8,77.02,75.87,612000,12/24/20
RE,"Everest Re Group",229.18,-0.37,-0.16%,229.53,229.92,226.24,77800,12/24/20
RF,"Regions Financial Corp",15.95,0.01,+0.06%,16.01,16.02,15.69,2588200,12/24/20
RJF,"Raymond James Financial",92.92,-1.13,-1.20%,94.78,94.78,92.52,219300,12/24/20
SCHW,"The Charles Schwab Corp",52.06,-0.29,-0.55%,52.38,52.38,51.84,1633100,12/24/20
SIVB,"Svb Financial Group",375.99,-1.53,-0.41%,379.93,379.93,372.09,75000,12/24/20
SPGI,"S&P Global Inc",316.58,2.95,+0.94%,313.23,316.94,313.23,490800,12/24/20
STT,"State Street Corp",71.78,0.2,+0.28%,72.02,72.02,70.8,665700,12/24/20
SYF,"Synchrony Financial",33.96,-0.17,-0.50%,34.2,34.2,33.61,844400,12/24/20
TFC,"Truist Financial Corp",46.99,-0.3,-0.63%,47.5,47.5,46.7,2276200,12/24/20
TROW,"T Rowe Price Group",148.28,0.44,+0.30%,148.87,148.87,147.23,370700,12/24/20
TRV,"The Travelers Companies Inc",138.49,0.54,+0.39%,138.06,138.64,136.84,416700,12/24/20
UNM,"Unumprovident Corp",21.92,0,0.00%,21.96,22.01,21.59,546600,12/24/20
USB,"U.S. Bancorp",46.49,-0.24,-0.51%,46.68,46.73,46.01,1980900,12/24/20
WFC,"Wells Fargo & Company",29.84,-0.51,-1.68%,30.29,30.38,29.66,14443700,12/24/20
WLTW,"Willis Towers WT",211.81,2.99,+1.43%,208.41,212.1,208.38,293800,12/24/20
WRB,"W.R. Berkley Corp",66.1,0.12,+0.18%,66.15,66.29,65.17,149400,12/24/20
ZION,"Zions Bancorp",43.34,-0.17,-0.39%,43.62,43.62,42.66,327600,12/24/20
