Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
A,"Agilent Technologies",117.31,0.01,+0.01%,117.04,118.37,116.84,733500,12/24/20
ABBV,"Abbvie Inc",103.26,-0.02,-0.02%,103.11,103.39,102.6,1378600,12/24/20
ABC,"Amerisourcebergen Corp",96.97,-0.27,-0.28%,97.33,97.58,96.08,295700,12/24/20
ABMD,"Abiomed Inc",303.41,-0.64,-0.21%,304.45,306.08,300.58,65700,12/24/20
ABT,"Abbott Laboratories",108.35,0.9,+0.84%,107.44,108.95,107.38,1451400,12/24/20
ALGN,"Align Technology",528.03,3.03,+0.58%,528.14,529.21,521.13,163600,12/24/20
ALXN,"Alexion Pharm Inc",152.63,-0.61,-0.40%,153.54,153.61,151.99,1083800,12/24/20
AMGN,"Amgen Inc",222.93,-0.01,0.00%,223.24,224.58,222.29,955400,12/24/20
ANTM,"Anthem Inc",308.67,0.32,+0.10%,307.97,309.6,307.89,224400,12/24/20
BAX,"Baxter International Inc",79.59,0.84,+1.07%,78.81,79.61,78.64,743200,12/24/20
BDX,"Becton Dickinson and Company",247.99,3.74,+1.53%,244.9,249.25,244.9,439900,12/24/20
BIIB,"Biogen Inc",248.89,-2.31,-0.92%,250.27,251.2,247.51,459400,12/24/20
BIO,"Bio-Rad Laboratories",575.07,0.65,+0.11%,575.32,579.22,569.89,40200,12/24/20
BMY,"Bristol-Myers Squibb Company",61.15,0.15,+0.25%,61.12,61.36,60.94,3099600,12/24/20
BSX,"Boston Scientific Corp",34.59,0.22,+0.64%,34.45,34.63,34.22,2608700,12/24/20
CAH,"Cardinal Health",53.8,-0.06,-0.11%,53.93,54.07,53.31,349600,12/24/20
CERN,"Cerner Corp",78.41,0.72,+0.93%,78.4,78.46,77.62,432000,12/24/20
CI,"Cigna Corp",198.83,-0.15,-0.08%,199.51,199.55,197.26,497600,12/24/20
CNC,"Centene Corp",58.02,-0.66,-1.12%,58.67,58.91,57.86,1509600,12/24/20
COO,"Cooper Companies",358.37,2.37,+0.67%,358.61,360.42,356.21,77000,12/24/20
CTLT,"Catalent Inc",105.31,0.45,+0.43%,104.89,106.22,104.66,277700,12/24/20
CVS,"CVS Corp",67.97,-0.04,-0.06%,68.17,68.17,67.49,2117500,12/24/20
DGX,"Quest Diagnostics Inc",120.23,-0.6,-0.50%,121.03,121.64,119.64,535200,12/24/20
DHR,"Danaher Corp",221.49,0.92,+0.42%,220.75,223.57,220.57,610900,12/24/20
DVA,"Davita Healthcare Partners Inc",115.13,0.13,+0.11%,114.99,115.68,114.62,161800,12/24/20
DXCM,Dexcom,355.02,-0.97,-0.27%,356.54,358.28,351.72,282400,12/24/20
EW,"Edwards Lifesciences Corp",88.63,0.35,+0.40%,88.52,88.99,88.15,441500,12/24/20
GILD,"Gilead Sciences Inc",57.07,-0.31,-0.54%,57.33,57.41,56.96,3441300,12/24/20
HCA,"Hca Holdings Inc",164.24,-1.62,-0.98%,166.87,166.87,164.08,288800,12/24/20
HOLX,"Hologic Inc",74.77,-0.29,-0.39%,74.85,75.1,74.2,571700,12/24/20
HSIC,"Henry Schein Inc",65.83,-0.61,-0.92%,66.31,66.4,65.25,155800,12/24/20
HUM,"Humana Inc",404.83,-0.26,-0.06%,403.89,407.24,403,271000,12/24/20
IDXX,"Idexx Laboratories",497.14,3.46,+0.70%,495.82,499.12,493.16,69500,12/24/20
ILMN,"Illumina Inc",367.29,0.77,+0.21%,363.45,369.06,362.01,269200,12/24/20
INCY,"Incyte Corp",87.37,-0.56,-0.64%,87.95,88.37,87.04,182100,12/24/20
IQV,"Iqvia Holdings Inc",175.94,0.39,+0.22%,175.91,176.46,174.94,261700,12/24/20
ISRG,"Intuitive Surg Inc",807,-2.65,-0.33%,810.71,812.34,803.01,163200,12/24/20
JNJ,"Johnson & Johnson",152.47,0.53,+0.35%,151.85,153.04,151.82,2114900,12/24/20
LH,"Laboratory Corp of America Holdings",203.87,-0.19,-0.09%,205,205,202.74,206000,12/24/20
LLY,"Eli Lilly and Company",166.66,1.18,+0.71%,165.85,167.94,165.85,627200,12/24/20
MCK,"Mckesson Corp",170.78,0.71,+0.42%,170.72,170.99,169.09,256700,12/24/20
MDT,"Medtronic Inc",114.03,0.09,+0.08%,114.08,114.53,113.61,1025200,12/24/20
MRK,"Merck & Company",80.14,0.38,+0.48%,80,80.43,79.87,2822000,12/24/20
MTD,"Mettler-Toledo International",1140.19,14.09,+1.25%,1127.23,1148.4,1127.23,43000,12/24/20
PFE,"Pfizer Inc",37.27,-0.17,-0.45%,37.4,37.57,37.18,14790101,12/24/20
PKI,Perkinelmer,139.71,0.39,+0.28%,139.21,140.11,138.64,174100,12/24/20
PRGO,"Perrigo Company",44.01,0.35,+0.80%,43.8,44.08,43.61,379100,12/24/20
REGN,"Regeneron Pharmaceuticals",488.93,-3.26,-0.66%,492.44,495.23,486.03,289100,12/24/20
RMD,"Resmed Inc",212.42,2.44,+1.16%,210.23,212.93,209.71,99500,12/24/20
STE,"Steris Corp",186.19,2.03,+1.10%,184.67,186.21,184.07,97100,12/24/20
SYK,"Stryker Corp",237.06,0.73,+0.31%,237.18,238.25,236.33,256400,12/24/20
TFX,"Teleflex Inc",405.06,7.77,+1.96%,399.32,406.81,396.18,87500,12/24/20
TMO,"Thermo Fisher Scientific Inc",458.09,-0.25,-0.05%,457.4,462.21,456.41,442000,12/24/20
UHS,"Universal Health Services",136.93,-0.13,-0.09%,137.56,137.6,135.33,98600,12/24/20
UNH,"Unitedhealth Group Inc",340.79,3.2,+0.95%,336.44,341.41,336.44,1360500,12/24/20
VAR,"Varian Medical Systems",174.77,0.04,+0.02%,174.73,175,174.7,133100,12/24/20
