Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAPL,"Apple Inc",131.97,1.01,+0.77%,131.32,133.46,131.1,54930000,12/24/20
ACN,"Accenture Plc",257.3,-0.14,-0.05%,258,259.78,256.28,528100,12/24/20
ADBE,"Adobe Systems Inc",499.86,2.95,+0.59%,499.16,503.01,497.28,589100,12/24/20
ADI,"Analog Devices",144.47,1.25,+0.87%,144.11,144.48,143.01,466300,12/24/20
ADP,"Automatic Data Procs",176.56,1.37,+0.78%,176.12,176.57,174.93,371500,12/24/20
ADSK,"Autodesk Inc",301.39,1.21,+0.40%,300.4,302.76,298.77,323000,12/24/20
AKAM,"Akamai Technologies",107.46,0.4,+0.37%,108.6,108.6,106.43,410300,12/24/20
AMAT,"Applied Materials",85.33,1.3,+1.55%,84.74,85.39,84.2,1409100,12/24/20
AMD,"Adv Micro Devices",91.81,0.26,+0.28%,91.8,92.51,91.31,16705900,12/24/20
ANET,"Arista Networks Inc",288.84,2.35,+0.82%,288.69,289.38,285.97,101700,12/24/20
ANSS,"Ansys Inc",364.17,1.95,+0.54%,362.76,366.33,361.13,209300,12/24/20
APH,"Amphenol Corp",129.17,0.41,+0.32%,129.07,129.38,128.26,337300,12/24/20
AVGO,"Broadcom Ltd",431.46,6,+1.41%,428.49,432,427.57,412200,12/24/20
BR,"Broadridge Financial Solutions Llc",150.01,2.6,+1.76%,148.23,150.02,147.58,162000,12/24/20
CDNS,"Cadence Design Sys",134,0.94,+0.71%,133.49,134.62,132.63,377200,12/24/20
CDW,"CDW Corp",129.23,-0.62,-0.48%,130.46,130.53,128.25,392900,12/24/20
CRM,"Salesforce.com Inc",225.78,-1.65,-0.73%,228.3,229.19,224.83,6146200,12/24/20
CSCO,"Cisco Systems Inc",44.54,0.17,+0.37%,44.45,44.59,44.23,5720500,12/24/20
CTSH,"Cognizant Tech Sol",81.07,0.08,+0.10%,81.35,81.35,80.6,1036900,12/24/20
CTXS,"Citrix Systems Inc",132.57,0.8,+0.61%,132.4,133.12,131.14,431800,12/24/20
DXC,"Dxc Technology Company",22.9,0.01,+0.04%,23.08,23.2,22.74,580700,12/24/20
FFIV,"F5 Networks Inc",175.61,-0.25,-0.14%,176.8,176.8,174.31,120500,12/24/20
FIS,"Fidelity National Information Services",140.79,6.08,+4.51%,134.63,141.79,134.51,6349800,12/24/20
FISV,"Fiserv Inc",112.63,1.99,+1.80%,111.08,112.74,110.89,1683100,12/24/20
