Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AIV,"Apartment Investment and Management",4.99,-0.01,-0.20%,5.02,5.03,4.89,3520000,12/24/20
AMT,"American Tower Corp",218.65,1.25,+0.57%,216.44,219.39,216.19,705600,12/24/20
ARE,"Alexandria Real Estate Equities",174.5,0.81,+0.47%,173.78,174.6,173.06,212700,12/24/20
AVB,"Avalonbay Communities",157.74,1.02,+0.65%,157.39,158.11,156.1,246000,12/24/20
BXP,"Boston Properties",93.93,1.33,+1.44%,93.2,94.01,91.47,367300,12/24/20
CBRE,"CBRE Group Inc",62.93,0.18,+0.29%,62.99,63.04,62.15,393600,12/24/20
CCI,"Crown Castle International Corp",154,1.54,+1.01%,152.88,154.29,152.58,521700,12/24/20
DLR,"Digital Realty Trust",137.43,0.64,+0.47%,136.88,138.17,136.53,460100,12/24/20
DRE,"Duke Realty Corp",39.3,0.56,+1.45%,38.91,39.32,38.75,592500,12/24/20
EQIX,"Equinix Inc",705.94,2.86,+0.41%,707.94,711.43,702.6,97300,12/24/20
EQR,"Equity Residential",58.2,1.13,+1.98%,57.48,58.27,57.05,638000,12/24/20
ESS,"Essex Property Trust",234.25,3.01,+1.30%,232.09,234.51,231.04,106600,12/24/20
EXR,"Extra Space Storage Inc",114.39,1.56,+1.38%,113.25,114.44,112.86,123200,12/24/20
FRT,"Federal Realty Investment Trust",86.58,0.47,+0.55%,86.57,87.01,85.32,231500,12/24/20
HST,"Host Marriott Financial Trust",14.2,0.16,+1.14%,14.05,14.2,13.88,2138500,12/24/20
IRM,"Iron Mountain Inc",29.54,0.07,+0.24%,29.64,29.69,29.33,1070800,12/24/20
KIM,"Kimco Realty Corp",14.52,0.13,+0.90%,14.46,14.65,14.27,921500,12/24/20
MAA,"Mid-America Apartment Communities",124.6,1.94,+1.58%,123.05,124.61,122.97,98000,12/24/20
O,"Realty Income Corp",61.09,0.63,+1.04%,60.66,61.12,60.29,772600,12/24/20
PEAK,"Healthpeak Properties Inc",29.76,0.24,+0.81%,29.57,29.83,29.35,497900,12/24/20
PLD,"Prologis Inc",97.24,1.05,+1.09%,96.66,97.51,96.34,714000,12/24/20
PSA,"Public Storage",228.85,1.85,+0.81%,227.44,228.98,227.07,154600,12/24/20
REG,"Regency Centers Corp",45.41,0.25,+0.55%,45.58,45.68,44.82,261200,12/24/20
SBAC,"SBA Communications",275.02,2.04,+0.75%,272.54,275.49,272.54,182800,12/24/20
SLG,"SL Green Realty Corp",56.74,0.03,+0.05%,57.08,57.37,56.16,517400,12/24/20
SPG,"Simon Property Group",84.37,0.72,+0.86%,84,84.59,83.05,810600,12/24/20
UDR,"United Dominion Realty Trust",37.32,0.29,+0.78%,37.14,37.37,36.85,326600,12/24/20
VNO,"Vornado Realty Trust",36.15,-0.32,-0.88%,36.51,36.7,35.7,604100,12/24/20
VTR,"Ventas Inc",49.19,0.2,+0.41%,49.21,49.54,48.85,529300,12/24/20
WELL,"Welltower Inc",63.52,1.16,+1.86%,62.68,63.6,62.32,547400,12/24/20
WY,"Weyerhaeuser Company",33.85,0.24,+0.71%,33.71,33.88,33.5,1135300,12/24/20
